i,n,Name,Lat,Long,Location,County,Region,Type,Total capacity (MW),Opened,Closed,Demolished,Notes
i,n,Manors,54.9716444,-1.6064083,Newcastle upon Tyne,Tyne and Wear,North East,Coal,,1901,1936,,"Grade II listed, converted into a Church"
i,n,Lemington,54.974139,-1.7102861,Lemington,Tyne and Wear,North East,Coal,0.97,1903,1919,1949 (partially),
i,n,Stella North,54.974139,-1.7258472,Lemington,Tyne and Wear,North East,Coal,240,1954,1991,1992-1997,A business park is now being built on the site
i,n,Stella South,54.974139,-1.7258472,Blaydon,Tyne and Wear,North East,Coal,300,1954,1991,1995-1996,A housing estate is now being built on the site
i,n,Neptune Bank,54.9835861,-1.5319583,Wallsend,Tyne and Wear,North East,Coal,4.5,1901,Yes,Yes,
i,n,Carville A,54.9880333,-1.5225139,Wallsend,Tyne and Wear,North East,Coal,10,1904,1960s,1962,
i,n,Carville B,54.9880333,-1.5225139,Wallsend,Tyne and Wear,North East,Coal,55,1916,1960s,1962,
i,n,Blyth A,55.1424778,-1.5269639,Cambois,Northumberland,North East,Coal,480,1958,1999,2003,
i,n,Kielder Water,55.1833083,-2.50000083,Kielder,Northumberland,North East,Small hydro,12,1982,,,
i,n,Lynemouth,55.204139,-1.5222417,Lynemouth,Northumberland,North East,Coal + Biomass,420,1972,,,
i,n,Berwick-upon-Tweed,55.7666278,-2.0047389,Berwick-upon-Tweed,Northumberland,North East,Coal,,1930s,,1990s,
